UserID,UserName,Email,Password,UserType,RegistrationDate,EnterpriseName,Country
USR1,phamjennifer,jonesvanessa@example.org,!3WzNct@r_,Individual,2022-12-02,Sanders-Solis,Finland
USR2,xnunez,nicholas57@example.org,0*h2gMOmk7,Enterprise,2024-01-14,,Norway
USR3,dawnjames,lneal@example.net,&r2R9UoC_8,Enterprise,2022-03-25,,Ireland
USR4,jeremylee,shannonjones@example.org,^M4T*jKc*u,Individual,2022-10-09,"Collier, Miller and Schmidt",Austria
USR5,valenciajaime,nicolereed@example.org,f$3AC&0kwU,Enterprise,2022-11-15,,Switzerland
USR6,kennethmorgan,growe@example.com,yk1XoN646),Enterprise,2022-06-08,,Switzerland
USR7,kmatthews,srichard@example.net,Ru8CoQ4@i#,Individual,2023-10-29,"Hopkins, Brooks and Mccarthy",Austria
USR8,priscillamercado,justinchung@example.net,g1H)iN^p#f,Enterprise,2023-06-08,,Austria
USR9,rebeccaclarke,john06@example.org,@%q92N8b(*,Enterprise,2023-07-01,Moses-Hunter,Netherlands
USR10,john40,nguyenstephen@example.net,Yli%#bYq%1,Individual,2023-11-26,"Jordan, Kim and Ho",Sweden
USR11,justin78,cody30@example.org,a$6U#aiPA+,Individual,2022-09-14,,Denmark
USR12,kmcgrath,leonarddavis@example.com,n+C#6X*%jd,Enterprise,2022-12-12,"Lewis, Rodriguez and Ward",Italy
USR13,nguyenjulie,jeffrey48@example.org,0qYR5Gj2+q,Enterprise,2022-05-12,"Hutchinson, Knox and Johnson",Belgium
USR14,robertcummings,daisypowell@example.com,i#b1NcrcQh,Enterprise,2023-04-08,"Whitaker, Griffin and Hill",Netherlands
USR15,tlee,lori18@example.net,QK*k!8EpSu,Individual,2023-02-23,"Wood, Brown and Johnson",Sweden
USR16,tmoody,aroth@example.net,D2#)xDpn@e,Enterprise,2023-03-10,Nichols PLC,Canada
USR17,flemingbreanna,prodgers@example.net,E_DgC2pQAK,Individual,2022-11-30,Morgan-Jones,Australia
USR18,sarabrown,wanda36@example.net,^@1vBpy9NP,Individual,2024-01-03,,Luxembourg
USR19,tiffanydavis,fdonovan@example.net,7*346Fo&pq,Enterprise,2022-04-03,,Portugal
USR20,mthompson,daviscarolyn@example.org,2DIeJk(L%8,Individual,2022-12-05,Mccann-Burns,Iceland
USR21,yangjustin,melaniesimpson@example.org,f2S8!NHk@(,Individual,2022-04-23,"Silva, Davidson and Howard",Switzerland
USR22,johntorres,rosekatherine@example.com,!9dcMgLJB$,Enterprise,2023-08-29,,Spain
USR23,michaelthompson,johnsonbenjamin@example.org,puQy%2Kbj4,Enterprise,2023-10-07,,New Zealand
USR24,conniewilson,uabbott@example.org,+&3i_%EhkJ,Individual,2022-08-05,"Ryan, Jones and Brown",Norway
USR25,joshuabrown,tonyliu@example.net,(88HXi7oR*,Enterprise,2022-08-04,Manning-Lawson,Spain
USR26,matthew92,juan95@example.net,!eDA&feJ)9,Enterprise,2023-10-20,,Germany
USR27,torresmadison,mdunn@example.net,^4zp(bZv$h,Individual,2023-12-27,Ortiz-Ramirez,United States
